dataset	cluster_id	reviewer	raw_label	normalised_label	provided_cl_id	reviewer_confidence	markers	tissue	species	condition	candidate_ids	candidate_labels	candidate_scores	component_cl_ids	component_labels	component_agreement	final_status	decision	cl_id	canonical_label	mapping_method	specificity_relation	conf_cat	reason	proposed_cl_id	proposed_canonical_label	single_cl_ready	adjudication_ready	evaluation_ready	editor_input_type	mapper_a_status	mapper_a_rank	mapper_a_cl_id	mapper_a_specificity	mapper_a_confidence	mapper_b_status	mapper_b_rank	mapper_b_cl_id	mapper_b_specificity	mapper_b_confidence	ab_clid_agreement	ab_specificity_agreement	verifier_called	verifier_verdict	verifier_reason	verifier_action	hash_a	hash_b	hash_v	source_file	source_run_id	model	prompt_version	pipeline_version	ontology_version	ontology_checksum	temperature	max_tokens	top_k	marker_limit
Census_immune	cluster_1	cassia	Monocyte (myeloid lineage)	monocytemyeloidlineage	NA	98	S100A12|CDA|S100A8|RBP7|S100A9|CD14|SERPINA1|RETN|VCAN|G0S2|CXCL8|MAFB|CLEC7A|CSTA|THBS1|LYZ|FCN1|MNDA|LGALS2|CFD	blood	human	healthy_immune	CL:0000576|CL:0009114|CL:0002194|CL:0011031|CL:0004246	monocyte|monocytoid B cell|monopoietic cell|monocyte-derived dendritic cell|monostratified cell	0.873|0.853|0.838|0.816|0.809	NA	NA	NA	mapped_evidence	accept_after_verifier	CL:0000576	monocyte	evidence_llm	exact	high	A/B consistent; spec=exact	CL:0000576	monocyte	TRUE	TRUE	TRUE	single_cl_id	mapped	1	CL:0000576	exact	high	mapped	5	CL:0000576	exact	high	TRUE	TRUE	TRUE	accept	NA	accept	0e6520c0e9b3fbf05c8ec1a845a0ccf6a239a32a106c2859795476d708a1b96a	24f6f6e4dddf8dd7787976c1b9b135130f0e781fee20697d97562a04254cfe30	603ef94dd3600dc1341ef5b8997af0cbf2584a934b2a7d961118ab5ad9eba9f5	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_10	cassia	T lymphocytes / T cells	tlymphocytetcell	NA	NA	WHAMM|ID3|OCIAD2|BTG3|IL6ST|SOX4|CAMK4|CD6|DDIT3|ITM2A|STK17A|LEF1|SATB1|TOB1|SBDS|NDFIP1|RHOH|SARAF|FHIT|IL7R	blood	human	healthy_immune	CL:0000084|CL:0000542|CL:0000958|CL:0000959|CL:0000960	T cell|lymphocyte|T1 B cell|T2 B cell|T3 B cell	0.938|0.875|0.86|0.86|0.86	NA	NA	NA	mapped_evidence	accept_after_verifier	CL:0000084	T cell	evidence_llm	exact	high	A/B consistent; spec=exact	CL:0000084	T cell	TRUE	TRUE	TRUE	single_cl_id	mapped	1	CL:0000084	exact	high	mapped	5	CL:0000084	exact	high	TRUE	TRUE	TRUE	accept	NA	accept	ac7ac898fc108f92615c6e647376b5fc056e96ffaf41383e5e0ef4b133df58b6	b327f669c15a5bc076c8d45a142a81fa89528214ef8eea9fc30e5c61b1708777	c7e1ab61b706b5289947e5cdc3d75a1a93523b029716356dc5b2a27c5efd1964	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_11	cassia	T lymphocyte (αβ T cell)	tlymphocytealphabetatcell	NA	93	MAL|TRAC|RGCC|BCL11B|FLT3LG|KLF2|LEPROTL1|CD3D|IL32|CD2|JUNB|GIMAP7|CD3E|CD3G|LTB|CD27|ZFP36L2|LIME1|TRBC1|CLEC2D	blood	human	healthy_immune	CL:0000084|CL:0000789|CL:0002293|CL:0000958|CL:0000959	T cell|alpha-beta T cell|epithelial cell of thymus|T1 B cell|T2 B cell	0.888|0.808|0.788|0.786|0.786	NA	NA	NA	mapped_evidence	accept_after_verifier	CL:0000789	alpha-beta T cell	evidence_llm	exact	high	A/B consistent; spec=exact	CL:0000789	alpha-beta T cell	TRUE	TRUE	TRUE	single_cl_id	mapped	2	CL:0000789	exact	high	mapped	4	CL:0000789	exact	high	TRUE	TRUE	TRUE	accept	NA	accept	7e91fefcd4bdd291f923cd34297f355ffe6ad82011ed0057826c3773faf3e131	1c9dfd8a076844ecddec8f95d8021ef59183549f60ec2b448142dbd40ccbdbda	0393a2569b88bbc1878c5855e4d148aa48ec6e4c1458d5241d482d9231481a25	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_12	cassia	Natural killer (NK) cell	naturalkillernkcell	NA	95	KLRF1|KLRC1|SPON2|CLIC3|PRF1|S1PR5|GZMB|XCL2|CD160|GNLY|IL2RB|FCGR3A|FGFBP2|NKG7|HOPX|CCL3|KLRD1|KLRB1|CST7|CCL4	blood	human	healthy_immune	CL:0000623|CL:0000825|CL:0001069|CL:0000903|CL:0002679	natural killer cell|pro-NK cell|group 2 innate lymphoid cell|natural T-regulatory cell|natural helper lymphocyte	0.979|0.901|0.898|0.836|0.827	NA	NA	NA	mapped_evidence	accept_after_verifier	CL:0000623	natural killer cell	evidence_llm	exact	high	A/B consistent; spec=exact	CL:0000623	natural killer cell	TRUE	TRUE	TRUE	single_cl_id	mapped	1	CL:0000623	exact	high	mapped	5	CL:0000623	exact	high	TRUE	TRUE	TRUE	accept	NA	accept	c192086bf533b254d95be5e85631af79fe908e6d529ea0eefc92ef0ff86403fd	226e973a3ff5ee59b8410109b3c73658f910bcb7b4ead4d949cdc3f5408c90ae	f0b5caa6d64e2077249f3fc6147e67bedea6211930ce386d27c8f4985f42eca0	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_13	cassia	Plasma cells / plasmablasts	plasmacellplasmablasts	NA	NA	SCNN1B|IGHG3|IGHG2|SDC1|IGHA2|IGKC|IGHG4|IGLL5|IGLC2|JCHAIN|TNFRSF17|IGLC3|JSRP1|SPAG4|PARM1|TXNDC5|MZB1|BLOC1S5-TXNDC5|DERL3|IGHA1	blood	human	healthy_immune	CL:0000786|CL:0000980|CL:0009033|CL:0000394|CL:0000784	plasma cell|plasmablast|plasma cell of appendix|plasmatocyte|plasmacytoid dendritic cell	0.891|0.864|0.812|0.81|0.802	NA	NA	NA	review	status_mismatch_mixed_identity_mapped	NA	NA	evidence_llm_abstain	exact	NA	status_mismatch_mixed_identity_mapped	CL:0000786	plasma cell	FALSE	TRUE	FALSE	candidate_set	mixed_identity	1	CL:0000786	exact	high	mapped	4	CL:0000980	exact	high	FALSE	TRUE	FALSE	NA	NA	NA	fb52043ea93c7143d029a12c305b27de642f06c6d0f61d9b2cfa6b605be28791	7872bc9a2b6f933107d7081b0141b2b32da399fcf8c2d1638b6d879454f8a135	NA	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_14	cassia	Dendritic cell (DC), specifically plasmacytoid dendritic cell (pDC)	dendriticcelldcspecificallyplasmacytoiddendriticcellpdc	NA	95	SCT|LILRA4|SHD|CLEC4C|PROC|LRRC26|PTPRS|SMPD3|TPM2|MAP1A|IL3RA|PTCRA|DNASE1L3|GAS6|SERPINF1|PLD4|DERL3|TNFRSF21|PPP1R14B|MYBL2	blood	human	healthy_immune	CL:0000451|CL:0009034|CL:0001056|CL:0000916|CL:0000990	dendritic cell|dendritic cell of appendix|dendritic cell, human|dendritic epidermal T cell|conventional dendritic cell	0.847|0.83|0.823|0.812|0.8	NA	NA	NA	review	verifier_review	NA	NA	evidence_llm_abstain	broadened	high	A/B consistent; spec=broadened | verifier: Label specifies plasmacytoid dendritic cell (pDC), but no pDC-specific term is in the candidate list; the proposed broad dendritic cell term is a valid parent, but the mapping should be flagged for missing subtype.	CL:0000451	dendritic cell	FALSE	TRUE	FALSE	candidate_set	mapped	1	CL:0000451	broadened	high	mapped	5	CL:0000451	broadened	high	TRUE	TRUE	TRUE	review	Label specifies plasmacytoid dendritic cell (pDC), but no pDC-specific term is in the candidate list; the proposed broad dendritic cell term is a valid parent, but the mapping should be flagged for missing subtype.	select_broader	2e1da14f1b263501a499ac9ac0e48081c2bee790b42b18d40520eb8c4cb68211	7ca0037f958f5715e93004cc35ccc88c2513efad6c805517f6c0d601dd6fd1c4	f0cc9807854db8c6653dbf45d984eee8f70a34182f2f64942a27b4dfa9eaf451	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_15	cassia	B-lymphoid lineage cells	blymphoidlineagecell	NA	88	CFAP73|ACSM3|MME|CCDC191|IRF4|PCDH9|H1-2|VPREB1|IGLC1|TCL1A|CD24|CCDC112|NEIL1|BCL7A|CD79B|VPREB3|RUBCNL|FCRLA|H2AC6|LHPP	blood	human	healthy_immune	CL:0017006|CL:0000236|CL:0000185|CL:0009060|CL:0002138	B-lymphoblast|B cell|myoepithelial cell|marginal zone B cell of lymph node|endothelial cell of lymphatic vessel	0.84|0.831|0.81|0.799|0.781	NA	NA	NA	mapped_evidence	accept_after_verifier	CL:0000236	B cell	evidence_llm	broadened	high	A/B consistent; spec=broadened	CL:0000236	B cell	TRUE	TRUE	TRUE	single_cl_id	mapped	2	CL:0000236	broadened	high	mapped	4	CL:0000236	broadened	high	TRUE	TRUE	TRUE	accept	NA	accept	363cd1fa91818b29a67f69201e16881ec9151027e4f729455ae976617df59e70	1b84b1dd2a64697d30f7360d2c3f82fc415f43bbc185698c706f84fcaf20a73a	501cb9de59ccedd5246cf71d533f5e2040b9db7f487d48e4b593f1a5a77a5819	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_16	cassia	B-cell lineage, early B-cell precursor / immature B-lymphoid progenitor	bcelllineageearlybcellprecursorimmatureblymphoidprogenitor	NA	93	LCN6|DNTT|CYGB|VPREB1|IGLL1|AKAP12|ARPP21|UHRF1|MME|CD9|NUSAP1|AURKB|MKI67|VPREB3|MND1|TOP2A|FAM111B|ASF1B|CDCA5|TYMS	blood	human	healthy_immune	CL:0000236|CL:0009045|CL:0009104|CL:0000169|CL:0009050	B cell|B cell of medullary sinus of lymph node|B cell zone reticular cell|type B pancreatic cell|B cell of anorectum	0.817|0.8|0.797|0.781|0.766	NA	NA	NA	mapped_evidence	accept_after_verifier	CL:0000236	B cell	evidence_llm	broadened	high	A/B consistent; spec=broadened	CL:0000236	B cell	TRUE	TRUE	TRUE	single_cl_id	mapped	1	CL:0000236	broadened	high	mapped	5	CL:0000236	broadened	high	TRUE	TRUE	TRUE	accept	NA	accept	3df2432e19f06c98e0b8d2f9159bee9a43307a504c592050c6b84e7a26f64e97	9a8219e9bf937cb1977cd719dc7988d9b0671d93c77c0da05250fd8634ccc3c8	84340a15736a46ade6f079e7403b75845a6df9eb0ca602f0f37d5ac0561d9f5b	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_2	cassia	CD8+ naïve T cells	cd8positiveitivenavetcell	NA	96	LRRN3|CHI3L2|LDLRAP1|GIMAP1|CCR7|DENND2D|NELL2|IL7R|AQP3|CD27|CD8B|TNFRSF25|LCK|SLFN5|ATP6V0E2|ETS1|TRAF3IP3|CD8A|GIMAP7|LBH	blood	human	healthy_immune	CL:0002101|CL:0002109|CL:0001062|CL:0001041|CL:0000917	CD38-positive naive B cell|B220-positive CD38-positive naive B cell|effector memory CD8-positive, alpha-beta T cell, terminally differentiated|CD8-positive, CXCR3-positive, alpha-beta regulatory T cell|Tc1 cell	0.96|0.929|0.922|0.92|0.919	NA	NA	NA	review	status_mismatch_unmapped_mapped	NA	NA	evidence_llm_abstain	exact	NA	status_mismatch_unmapped_mapped	CL:0000917	Tc1 cell	FALSE	TRUE	FALSE	candidate_set	unmapped	NA	NA	exact	low	mapped	1	CL:0000917	broadened	medium	FALSE	FALSE	FALSE	NA	NA	NA	2bff080cf1d1d023a903dbd9f6d414c226ddae6aace327c1ff7bffb601920683	1de69ba341644ea4474fb5d41f1bcf7c2d9a60648c8edf2de1312ac409aab4c5	NA	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
Census_immune	cluster_3	cassia	Hematopoietic stem/progenitor cells (HSPCs) — CD34+ primitive hematopoietic stem/progenitor cell cluster	hematopoieticstemprogenitorcellhspcscd34positiveitiveprimitivehematopoieticstemprogenitorcellcluster	NA	93	AVP|CRHBP|HPGDS|CRYGD|NPR3|CPA3|HTR1F|GATA2|C1QTNF4|BAALC|SPINK2|SMIM24|CPXM1|CYTL1|HOXA9|PRSS57|EGFL7|GUCY1A1|NPW|HOXA10	blood	human	healthy_immune	CL:0000037|CL:0002031|CL:0000988|CL:0000837|CL:0001060	hematopoietic stem cell|hematopoietic lineage restricted progenitor cell|hematopoietic cell|hematopoietic multipotent progenitor cell|hematopoietic oligopotent progenitor cell, lineage-negative	0.832|0.824|0.822|0.803|0.8	NA	NA	NA	review	specificity_mismatch	NA	NA	evidence_llm_abstain	exact	NA	A spec=exact; B spec=broadened	CL:0000037	hematopoietic stem cell	FALSE	TRUE	FALSE	candidate_set	mapped	1	CL:0000037	exact	high	mapped	5	CL:0000037	broadened	high	TRUE	FALSE	FALSE	NA	NA	NA	2d984d35e9710dd1aa792b3753fd7b4cf864440517b217e6e57292f2ef4b2158	fe23c9d5fff44edd2b19001ae175728cdf79f9b97a4bf25a9f7b1ee9055a95d5	NA	03b_cassia/CASSIA_blood_human_20260803_170443/01_annotation_results/annotation_cassia_FINAL_RESULTS.csv	20260803_165902	deepseek-v4-flash	v1.0.0	v1.0.0	2025-07-30	d1f01acb10bb3de97917f294d4a52b6b	0	300	5	20
